userId,rating_count,avg_rating,rating_std
118205,9254,3.2790685109141995,0.5589679906631337
8405,7515,3.2083166999334662,0.948755555928256
82418,5646,3.516914629826426,1.0193986185313004
121535,5520,2.7931159420289857,0.9184681234252731
125794,5491,3.762975778546713,0.727706051638791
74142,5447,1.5774738388103544,1.2226295418886564
34576,5356,3.011669156086632,0.617140884775095
131904,5330,3.248874296435272,0.5523144713337015
83090,5169,2.4049139098471657,0.6881790463980219
59477,4988,2.4550922213311948,0.7305311001629105
130767,4785,3.2189132706374086,0.7497126468762179
79159,4707,3.284682387932866,0.9180192650766325
8963,4524,3.033377541998232,0.6904900244287135
15617,4354,3.188791915480018,0.5858059659903592
92011,4236,3.5056657223796033,0.7792867538875692
71975,4182,3.0441176470588234,0.788977263151068
20132,4101,3.5307242136064376,1.0376602137931135
46470,4094,2.3336590131900343,1.303383350107522
88820,4093,3.1446371854385538,0.8405903156377554
63147,3958,2.7436836786255685,0.8387441862381853

