genre,movie_count,rating_count,avg_rating,median_rating,rating_std,rating_var
Drama,13344,8857853,3.6742955093068264,4.0,0.9901799134215051,0.9804562609434193
Comedy,8374,7502234,3.4260113054324886,3.5,1.0725305527816438,1.1503217866500983
Thriller,4178,5313506,3.50711121809216,3.5,1.028364067256193,1.0575326548236998
Romance,4127,3802002,3.541802581902903,4.0,1.0312422165409394,1.0634605091762697
Action,3520,5614208,3.44386376493354,3.5,1.0590729815503614,1.1216355802499725
Crime,2939,3298335,3.6745276025631113,4.0,1.0033836907507043,1.006778830864505
Horror,2611,1482737,3.2772238097518307,3.5,1.1417672157147485,1.3036323748810088
Documentary,2471,244619,3.7397176834178865,4.0,1.002613572949458,1.0052339766624785
Adventure,2329,4380351,3.5018926565473865,3.5,1.0516046125350136,1.105872261104916
Sci-Fi,1743,3150141,3.4367726714455005,3.5,1.0807910332860196,1.1681092576314618
Mystery,1514,1557282,3.663508921312903,4.0,1.0005373485792755,1.0010749859020467
Fantasy,1412,2111403,3.5059453358738244,3.5,1.0663331777598164,1.137066445991348
War,1194,1048618,3.8095307347384844,4.0,0.9842624656692543,0.9687726013253202
Children,1139,1669249,3.4081137685270444,3.5,1.087595108649099,1.1828631203574451
Musical,1036,870915,3.558090628821412,4.0,1.049019944447001,1.1004428438475888
Animation,1027,1140476,3.6174939235897994,4.0,1.0067086536210894,1.0134623132755867
Western,676,423714,3.5704980246109406,4.0,1.0161003068974657,1.032459833677124
Film-Noir,330,216689,3.96538126070082,4.0,0.8954666626158478,0.8018605438563646
IMAX,196,492366,3.655945983272606,4.0,0.9798600796405951,0.9601257756732733

