userId,movieId,rating,timestamp
1,1,4.0,946684800
1,2,3.5,946771200
1,3,4.0,947030400
1,6,4.5,1104537600
1,10,4.0,1262304000
2,1,5.0,946684800
2,2,4.0,946771200
2,4,3.0,1104537600
2,7,4.5,1262304000
2,10,4.5,1420070400
3,1,4.5,946684800
3,3,3.5,946771200
3,5,3.0,1104537600
3,6,4.0,1262304000
3,9,3.5,1420070400
4,2,4.0,946684800
4,4,3.5,946771200
4,6,4.5,1104537600
4,8,3.0,1262304000
4,10,4.0,1420070400
5,1,4.0,946684800
5,5,3.5,946771200
5,7,4.0,1104537600
5,9,3.0,1262304000
5,10,4.5,1420070400

